Sym,Pct,Sa,La
UCFC,-97.48884999999994,5,3
KELYA,-26.08999999999989,4,3
DFIN,-12.385000000000048,5,3
NGVC,19.990000000000023,2,3
MTOR,210.52499999999998,4,3
DRQ,-9.644999999999825,4,3
ALEC,110.68249999999998,4,2
CFFN,-16.752500000000012,2,3
ALDR,26.049999999999997,5,3
INS,275.90045000000015,4,3
HTZ,45.80499999999998,2,3
ANDE,8.262500000000017,5,3
SCHL,-4.8225000000000335,5,3
CNSL,29.722500000000053,2,3
TMHC,13.100000000000009,5,2
ARCB,-13.154999999999973,4,3
ARI,-4.830000000000069,4,2
KALA,78.92499999999995,4,2
KVHI,22.955000000000112,2,3
GBCI,8.549999999999912,5,4
BLX,15.630000000000052,4,2
MBIN,-2.8450000000000557,4,2
PBFS,3.3349999999999653,5,4
MTEM,310.55999999999983,2,3
MWA,-9.050000000000026,2,3
UE,2.045000000000016,5,4
SFNC,-1.5549999999999784,2,3
OSPN,7.472500000000053,5,4
CRY,4.429999999999936,5,3
MEET,10.510000000000005,5,2
CCXI,54.730000000000075,4,2
UNFI,17.725000000000023,5,4
BXG,4.724999999999895,4,3
ATRC,28.447499999999934,2,3
COHU,76.93250000000003,5,2
AEL,39.875,5,3
GAIA,143.47000000000003,4,2
ARDX,23.38750000000003,2,3
SIEB,-2.690000000000069,5,2
VLGEA,41.16500000000002,2,3
BCEL,219.54249999999996,2,3
RVI,-7.430000000000007,5,2
INSW,33.72999999999999,4,3
KTOS,17.797499999999985,5,3
AMBC,22.419999999999987,5,4
FSTR,-15.559999999999988,2,3
REPH,32.442500000000024,5,2
MDRX,-5.367500000000007,5,4
HSTM,-7.582499999999982,5,3
CNCE,17.679999999999936,5,4
CIA,5.619999999999976,4,2
DIN,-16.52000000000004,4,2
CTRE,-3.5400000000000063,2,3
YEXT,-0.38499999999993406,5,2
DXPE,7.924999999999997,5,3
SPWH,18.1249999999999,5,2
SAMG,-21.660000000000025,5,4
CATY,2.357500000000016,2,3
FCBP,-3.1450000000000244,5,2
OLBK,8.829999999999998,5,4
RM,29.950000000000045,5,4
CCS,47.61999999999992,2,3
PLCE,-16.90000000000002,5,4
WGO,41.95999999999992,5,3
ODT,12.725000000000009,5,4
CIO,16.68000000000002,5,2
AIMT,32.93999999999994,5,4
CIVB,21.459999999999994,2,3
SHSP,20.300000000000026,4,3
MOFG,17.980000000000047,5,4
QCRH,4.874999999999986,5,3
BRG,-10.000000000000043,4,2
NXTC,325.69999999999993,4,3
CARA,13.88250000000005,2,3
EBF,6.484999999999971,2,3
RYI,20.82999999999994,5,4
SKT,-8.449999999999989,4,2
VHC,68.6350000000001,2,3
LRN,-27.70999999999998,5,4
OSUR,-3.0400000000000347,4,3
ECPG,23.6550000000001,2,3
LSCC,-5.4625000000000625,4,3
HIBB,1.1225000000000733,5,2
HBMD,-5.30000000000004,5,3
MTW,-12.750000000000028,4,2
AMRC,14.720000000000041,5,3
WLDN,30.180000000000064,2,3
LC,15.244999999999933,5,4
TISI,-7.794999999999945,5,3
HURC,-8.160000000000082,4,2
GMS,11.169999999999916,4,3
HOPE,-7.95750000000001,2,3
AMAG,-0.6999999999999602,5,4
CWK,-3.8400000000000176,2,3
REGI,64.40999999999994,5,4
CADE,-11.964999999999876,5,2
ARTNA,-9.762500000000045,4,2
HCI,10.28500000000004,5,4
MITK,-4.4375,4,2
UEIC,-12.134999999999934,4,2
OFG,-7.9049999999999585,4,2
NRCG,12.199999999999989,5,3
RMAX,-13.729999999999976,2,3
WEYS,-14.440000000000012,4,2
TNET,5.290000000000063,4,3
FBP,-12.585000000000036,5,3
XFOR,2.577499999999972,2,3
FMAO,10.46999999999997,2,3
BBIO,53.72999999999999,2,3
PTSI,52.49000000000001,4,3
PICO,2.110000000000042,5,4
UPLD,-5.459999999999951,5,4
LPX,60.214999999999975,4,3
CTS,7.590000000000018,4,2
CALX,39.95500000000001,5,2
DAN,37.32500000000002,5,4
FBMS,15.809999999999974,5,3
SGMO,9.644999999999996,5,4
GPX,-8.35500000000006,5,4
CLNC,15.255000000000024,4,2
PMT,-0.6700000000000301,5,2
IIIV,5.124999999999986,5,4
CRCM,31.504999999999995,4,3
CSFL,18.325000000000003,5,4
RRR,2.8550000000000466,2,3
MINI,2.1599999999999824,4,2
LXP,23.329999999999956,2,3
VSEC,9.39500000000001,2,3
AGYS,34.4375,4,3
ITCI,67.79000000000002,5,4
AIMC,15.727500000000049,5,2
DOVA,177.70500000000004,4,3
NKSH,36.920000000000016,2,3
LADR,-1.3799999999999955,2,3
OPBK,-9.254999999999967,4,3
APEI,3.314999999999941,5,3
THR,-1.5300000000000011,5,4
FSS,6.854999999999961,2,3
IBOC,7.052499999999981,2,3
STC,-11.094999999999956,5,4
MCB,16.18500000000003,5,2
PRO,3.125000000000014,4,2
HSII,6.660000000000039,2,3
GRTS,10.154999999999987,4,2
TPCO,43.22250000000005,2,3
AXDX,7.6899999999999835,2,3
RVNC,73.47250000000003,5,2
FFIN,12.635000000000005,2,3
XPER,-12.560000000000016,2,3
GENC,8.722499999999997,4,2
RRTS,-11.850000000000108,5,4
AVID,14.922499999999985,5,2
SCSC,12.574999999999989,4,3
KTB,-8.030000000000157,2,3
UBFO,11.999999999999929,2,3
TPIC,-2.755000000000024,5,3
